            NaN  NaN
 -1.754526e+002 -5.000000e+001
 -1.746947e+002 -4.623693e+001
 -1.739368e+002 -4.310104e+001
 -1.731789e+002 -4.142857e+001
 -1.724210e+002 -3.933797e+001
 -1.716631e+002 -3.745644e+001
 -1.709052e+002 -3.578397e+001
 -1.701473e+002 -3.432055e+001
 -1.686315e+002 -3.243902e+001
 -1.678736e+002 -3.139372e+001
 -1.663578e+002 -2.972125e+001
 -1.648421e+002 -2.804878e+001
 -1.633263e+002 -2.658536e+001
 -1.618105e+002 -2.512195e+001
 -1.587789e+002 -2.303135e+001
 -1.565052e+002 -2.156794e+001
 -1.534736e+002 -2.010452e+001
 -1.474105e+002 -1.801393e+001
 -1.421052e+002 -1.675958e+001
 -1.383157e+002 -1.634146e+001
 -1.345263e+002 -1.592334e+001
 -1.277052e+002 -1.571428e+001
 -1.224000e+002 -1.529616e+001
 -1.178526e+002 -1.466898e+001
 -1.125473e+002 -1.383275e+001
 -9.738947e+001 -9.651567e+000
 -8.677894e+001 -6.724738e+000
 -7.389473e+001 -3.379790e+000
 -6.858947e+001 -1.916376e+000
 -6.176842e+001 -2.439024e-001
 -5.267368e+001  2.055749e+000
 -3.751578e+001  5.191637e+000
 -3.145263e+001  6.236933e+000
 -2.387368e+001  7.491289e+000
 -1.553684e+001  8.327526e+000
 -8.715789e+000  8.745644e+000
  3.789473e-001  9.163763e+000
  1.326315e+001  8.536585e+000
  2.766315e+001  7.073170e+000
  4.206315e+001  4.564459e+000
  5.343157e+001  2.055749e+000
  7.389473e+001 -3.170731e+000
  8.602105e+001 -6.097560e+000
  9.360000e+001 -8.397212e+000
  1.049684e+002 -1.132404e+001
  1.125473e+002 -1.362369e+001
  1.170947e+002 -1.445993e+001
  1.216421e+002 -1.508710e+001
  1.254315e+002 -1.550522e+001
  1.330105e+002 -1.571428e+001
  1.390736e+002 -1.634146e+001
  1.436210e+002 -1.696864e+001
  1.474105e+002 -1.780487e+001
  1.519578e+002 -1.905923e+001
  1.580210e+002 -2.198606e+001
  1.625684e+002 -2.512195e+001
  1.656000e+002 -2.783972e+001
  1.686315e+002 -3.160278e+001
  1.716631e+002 -3.620209e+001
  1.731789e+002 -4.038327e+001
  1.739368e+002 -4.205574e+001
  1.746947e+002 -4.456445e+001
  1.754526e+002 -4.623693e+001
  1.762105e+002 -4.811846e+001
  1.769684e+002 -5.000000e+001
