NaN     -5.5
0.4	-0.028779688
2.26	-0.03756875
4.46	2.89E-05
6.73	-0.062471094
9	-0.049775781
11.27	-0.077607813
13.54	-0.067353906
15.81	-0.124971094
18.11	-0.156221094
20.37	-0.162080469
22.62	-0.199678125
24.88	-0.259736719
27.15	-0.361299219
29.4	-0.416475
31.69	-0.546846094
33.98	-0.704560938
36.27	-0.862275781
38.55	-1.046846094
40.84	-1.272920313
43.15	-1.532685938
45.46	-1.808076563
47.77	-2.147920313
50.08	-2.430146875
52.39	-2.804170313
54.7	-3.17038125
57.03	-3.554170313
59.31	-3.974092188
61.6	-4.341279688
63.87	-4.800264063
66.14	-5.227998438
68.41	-5.715303125
70.68	-6.149873438
72.97	-6.65475625
75.24	-7.138154688
77.51	-7.6196
79.78	-8.085420313
82.05	-8.60006875
84.36	-9.054170313
86.65	-9.535615625
88.96	-10.00827188
91.27	-10.52975625
93.56	-10.96042031
95.85	-11.43405313
98.16	-11.92038125
100.45	-12.47311563
102.77	-12.90768594
105.13	-13.45163125
107.45	-13.95358438
109.74	-14.4946
112.07	-15.197725
114.4	-15.82467813
116.73	-16.59518594
119.06	-17.40377969
121.37	-17.978975
123.68	-18.47702188
125.99	-18.8696
128.28	-19.00436563
130.59	-19.05319375
132.88	-19.23483438
135.19	-19.3461625
137.5	-19.64889688
139.79	-20.02194375
142.1	-20.56100625
144.39	-21.041475
146.7	-21.791475
148.99	-22.82663125
151.3	-23.03170938
153.59	-24.16256875
155.9	-24.81295938
158.19	-26.07858438
160.5	-26.87155313
162.79	-27.9086625
165.12	-29.1586625
167.45	-29.63131875
169.79	-30.63131875
172.09	-31.322725
174.4	-31.0961625
176.78	-32.9321
179.09	-34.05319375
181.42	-35.42038125
183.75	-37.18600625
186.1	-38.41842813
188.45	-37.26999063
190.78	-34.98092813
193.11	-33.09030313
195.46	-29.77585
197.79	-27.68600625
200.14	-26.16842813
202.47	-24.65085
204.8	-23.53561563
207.15	-22.64889688
209.49	-21.65085
211.82	-20.83444375
214.17	-20.3930375
216.52	-19.77194375
218.84	-19.27585
221.18	-18.74655313
223.51	-18.58835
225.86	-18.353975
228.19	-18.01413125
230.52	-17.63327188
232.87	-17.50924844
235.2	-17.31393594
237.53	-17.07174844
239.88	-16.96335
242.21	-16.74557656
244.54	-16.45065469
246.89	-16.34030313
249.22	-16.06295938
251.55	-15.77780313
253.9	-15.48776406
256.23	-15.0805375
258.59	-14.61569375
260.92	-14.22799844
263.25	-13.59909219
265.6	-13.07956094
267.93	-12.52682656
270.26	-11.88815469
272.61	-11.31393594
274.94	-10.74362344
277.27	-10.12448281
279.62	-9.523896875
281.95	-8.953584375
284.28	-8.379365625
286.63	-7.821748438
288.96	-7.269990625
291.31	-6.695771875
293.64	-6.144990625
295.97	-5.603975
298.32	-5.079560938
300.65	-4.519014063
303.01	-4.066865625
305.34	-3.569795313
307.67	-3.138154688
310.02	-2.745576563
312.35	-2.335420313
314.68	-2.0336625
317.01	-1.719209375
319.36	-1.454072656
321.69	-1.230439844
324.02	-1.065889063
326.37	-0.884736719
328.7	-0.699189844
331.06	-0.592744531
333.39	-0.467744531
335.72	-0.444307031
338.07	-0.343232813
340.4	-0.306123438
342.73	-0.273896875
345.08	-0.208955469
347.41	-0.183564844
349.74	-0.138642969
352.09	-0.118135156
354.43	-0.094697656
356.76	-0.071748438
358.76	-0.111299219
360	-0.120576563

