0.0				2.3536
0.0012851      	2.3536         
0.029739       	3.0511         
0.056475       	3.9754         
0.093204       	5.4362         
0.12656        	6.9711         
0.16323        	8.8112         
0.20815        	11.491         
0.23474        	13.326         
0.2563         	15.006         
0.26957        	16.076         
0.29279        	17.909         
0.31266        	19.665         
0.3342         	21.497         
0.34911        	22.795         
0.36235        	24.016
0.53377         45.         
0.0				2.3534
0.0011863      	2.3534         
0.039647       	3.2788         
0.068057       	4.0486         
0.11142        	5.659          
0.14972        	7.3433         
0.18792        	9.4831         
0.2128         	11.086         
0.24595        	13.3           
0.26581        	14.75          
0.30051        	17.571         
0.32692        	19.858         
0.35165        	22.145         
0.378          	24.735         
0.39775        	26.716
0.53377         42.5 
0.0				2.3547
0.0045473      	2.3547         
0.03635        	2.9739         
0.066472       	3.5926         
0.091521       	4.3611         
0.12654        	5.6647         
0.16316        	7.3484         
0.20305        	9.4888         
0.22792        	11.092         
0.26107        	13.306         
0.31732        	17.578         
0.34373        	19.865         
0.36846        	22.151         
0.39312        	24.741         
0.43424        	29.007
0.53377         40. 
0.0				2.2788
0.0045633      	2.2788         
0.048114       	2.9784         
0.084958       	3.5996         
0.12001        	4.7514         
0.16502        	6.5142         
0.21158        	8.8848         
0.25305        	11.481         
0.29774        	14.762         
0.33244        	17.583         
0.35885        	19.871         
0.38526        	22.158         
0.40993        	24.748         
0.428          	26.728         
0.44937        	29.013         
0.474          	31.755
0.53377         38.         
0.0				2.2788
0.0028827      	2.2781         
0.034749       	2.5938         
0.073274       	3.2157         
0.11007        	4.0645         
0.14347        	5.0639         
0.17016        	6.0608         
0.20678        	7.7445         
0.23669        	9.3498         
0.26493        	10.954         
0.30139        	13.397         
0.34608        	16.678         
0.38574        	19.881         
0.40552        	21.71          
0.44343        	25.292         
0.46151        	27.196         
0.47795        	28.948         
0.5075         	32.299         
0.53377        	35.269         
